name,url,remote_testing,adaptive_irt,test_type,duration
Siebel Development (New),https://www.shl.com/solutions/products/product-catalog/view/siebel-development-new/,No,No,K,Assessment length
Smart Interview Live,https://www.shl.com/solutions/products/product-catalog/view/smart-interview-live/,No,No,P,Assessment length
Smart Interview Live Coding,https://www.shl.com/solutions/products/product-catalog/view/smart-interview-live-coding/,No,No,K,Assessment length
Smart Interview On Demand,https://www.shl.com/solutions/products/product-catalog/view/smart-interview-on-demand/,No,No,P,Assessment length
Social Media (New),https://www.shl.com/solutions/products/product-catalog/view/social-media-new/,No,No,K,Assessment length
Software Business Analysis,https://www.shl.com/solutions/products/product-catalog/view/software-business-analysis/,No,No,K,Assessment length
SonarQube (New),https://www.shl.com/solutions/products/product-catalog/view/sonarqube-new/,No,No,K,Assessment length
Spelling (U.S.) (New),https://www.shl.com/solutions/products/product-catalog/view/spelling-u-s-new/,No,No,K,Assessment length
Split Screen Typing Test - Form 1,https://www.shl.com/solutions/products/product-catalog/view/split-screen-typing-test-form-1/,No,No,"A
K",Assessment length
Spring (New),https://www.shl.com/solutions/products/product-catalog/view/spring-new/,No,No,K,Assessment length
SQL (New),https://www.shl.com/solutions/products/product-catalog/view/sql-new/,No,No,K,Assessment length
SQL Server (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,No,No,K,Assessment length
SQL Server Analysis Services (SSAS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,No,No,K,Assessment length
SQL Server Integration Services (SSIS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-integration-services-ssis-new/,No,No,K,Assessment length
SQL Server Reporting Services (SSRS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-reporting-services-ssrs-new/,No,No,K,Assessment length
Statistical Analysis System (New),https://www.shl.com/solutions/products/product-catalog/view/statistical-analysis-system-new/,No,No,K,Assessment length
Struts (New),https://www.shl.com/solutions/products/product-catalog/view/struts-new/,No,No,K,Assessment length
SVAR - Spoken English (AUS),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-aus/,No,No,S,Assessment length
SVAR - Spoken English (Indian Accent)  (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,No,No,S,Assessment length
SVAR - Spoken English (U.K.),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-u-k/,No,No,S,Assessment length
SVAR - Spoken English (US)  (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-us-new/,No,No,S,Assessment length
SVAR - Spoken French (Canadian) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-french-canadian-new/,No,No,S,Assessment length
SVAR - Spoken French (European) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-french-european-new/,No,No,S,Assessment length
SVAR - Spoken Spanish (Castilian) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-spanish-castilian-new/,No,No,S,Assessment length
SVAR - Spoken Spanish (North American) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-spanish-north-american-new/,No,No,S,Assessment length
Swing (New),https://www.shl.com/solutions/products/product-catalog/view/swing-new/,No,No,K,Assessment length
Tableau (New),https://www.shl.com/solutions/products/product-catalog/view/tableau-new/,No,No,K,Assessment length
Telecommunications Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/telecommunications-engineering-new/,No,No,K,Assessment length
Teradata Development (New),https://www.shl.com/solutions/products/product-catalog/view/teradata-development-new/,No,No,K,Assessment length
Time Management (U.S.),https://www.shl.com/solutions/products/product-catalog/view/time-management-u-s/,No,No,K,Assessment length
Training Development,https://www.shl.com/solutions/products/product-catalog/view/training-development/,No,No,K,Assessment length
Typing (New),https://www.shl.com/solutions/products/product-catalog/view/typing-new/,No,No,S,Assessment length
UiPath RPA Development (New),https://www.shl.com/solutions/products/product-catalog/view/uipath-rpa-development-new/,No,No,K,Assessment length
Universal Competency Framework Interview Guide,https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-interview-guide/,No,No,"C
P",
Universal Competency Framework Job profiling guide,https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-job-profiling-guide/,No,No,"C
P",Assessment length
Universal Competency Framework Profiler Cards (44),https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-profiler-cards-44/,No,No,"C
P",Assessment length
UNIX (New),https://www.shl.com/solutions/products/product-catalog/view/unix-new/,No,No,K,Assessment length
VB.NET (New),https://www.shl.com/solutions/products/product-catalog/view/vb-net-new/,No,No,K,Assessment length
Verify - Deductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/verify-deductive-reasoning/,No,No,A,Assessment length
Verify - Following Instructions,https://www.shl.com/solutions/products/product-catalog/view/verify-following-instructions/,No,No,A,Assessment length
Verify - G+,https://www.shl.com/solutions/products/product-catalog/view/verify-g/,No,No,A,Assessment length
Verify - General Ability Screen,https://www.shl.com/solutions/products/product-catalog/view/verify-general-ability-screen/,No,No,A,Assessment length
Verify - Inductive Reasoning (2014),https://www.shl.com/solutions/products/product-catalog/view/verify-inductive-reasoning-2014/,No,No,A,Assessment length
Verify - Numerical Ability,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,No,No,A,Assessment length
Verify - Technical Checking - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-technical-checking-next-generation/,No,No,A,Assessment length
Verify - Verbal Ability - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,No,No,A,Assessment length
Verify - Working with Information,https://www.shl.com/solutions/products/product-catalog/view/verify-working-with-information/,No,No,A,Assessment length
Verify G+ - Ability Test Report,https://www.shl.com/solutions/products/product-catalog/view/verify-g-ability-test-report/,No,No,A,
Verify G+ - Candidate Report,https://www.shl.com/solutions/products/product-catalog/view/verify-g-candidate-report/,No,No,A,
Verify Interactive Ability Report,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-ability-report/,No,No,A,
Verify Interactive G+ Candidate Report,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-g-candidate-report/,No,No,A,
Verify Interactive G+ Report,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-g-report/,No,No,A,
Verify Interactive Process Monitoring,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-process-monitoring/,No,No,A,Assessment length
Virtual Assessment and Development Centers,https://www.shl.com/solutions/products/product-catalog/view/virtual-assessment-and-development-centers/,No,No,P,Assessment length
Visual Basic for Applications (New),https://www.shl.com/solutions/products/product-catalog/view/visual-basic-for-applications-new/,No,No,K,Assessment length
Visual Comparison - UK,https://www.shl.com/solutions/products/product-catalog/view/visual-comparison-uk/,No,No,K,Assessment length
Visual Comparison - US,https://www.shl.com/solutions/products/product-catalog/view/visual-comparison-us/,No,No,K,Assessment length
VLSI and Embedded Systems (New),https://www.shl.com/solutions/products/product-catalog/view/vlsi-and-embedded-systems-new/,No,No,K,Assessment length
What Is The Value - US,https://www.shl.com/solutions/products/product-catalog/view/what-is-the-value-us/,No,No,K,Assessment length
Workplace Administration Skills (New),https://www.shl.com/solutions/products/product-catalog/view/workplace-administration-skills-new/,No,No,K,Assessment length
Workplace Health and Safety (New),https://www.shl.com/solutions/products/product-catalog/view/workplace-health-and-safety-new/,No,No,K,Assessment length
WriteX - Email Writing (Customer Service) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-customer-service-new/,No,No,S,Assessment length
WriteX - Email Writing (Managerial) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-managerial-new/,No,No,S,Assessment length
WriteX - Email Writing (Sales) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/,No,No,"B
S",Assessment length
Written English v1,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,No,No,K,Assessment length
Written Spanish,https://www.shl.com/solutions/products/product-catalog/view/written-spanish/,No,No,K,Assessment length
Zabbix (New),https://www.shl.com/solutions/products/product-catalog/view/zabbix-new/,No,No,K,Assessment length
360 Digital Report,https://www.shl.com/solutions/products/product-catalog/view/360-digital-report/,No,No,D,
360° Multi-Rater Feedback System (MFS),https://www.shl.com/solutions/products/product-catalog/view/360-multi-rater-feedback-system-mfs/,No,No,"D
P",Assessment length
